Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
64	-3049.0046	1755.4403	-340.75085	-5591.8496	-2716.2024	2226.9614	-177.0213	-8723.009	400.0	400.0	383999	-17263.314	8605.521	-1512.7748	-54618.96	-17263.281	8605.551	-1485.8755	-54595.28	3.896128	2.7370288	72.71919	-8.37187	17257.773	3587.359	2869.020635843277
65	-5431.2153	4138.3364	-260.5471	-15574.2705	-3226.853	3320.1775	-568.80646	-12123.074	400.0	400.0	389999	-17461.498	8752.145	-1515.1476	-55039.945	-17461.457	8752.177	-1389.5101	-55021.727	3.802228	2.768825	72.06383	-10.001305	17457.066	3727.5247	2914.755516052246
66	-3199.4749	2637.8171	-117.184654	-9592.104	-3727.159	2621.7659	-479.2876	-8844.709	400.0	400.0	395999	-17657.713	8865.644	-1587.1465	-55526.312	-17657.678	8865.681	-1416.7878	-55562.047	3.8187861	2.7774296	83.839264	-11.997087	17652.91	3768.085	2957.5123949050903
67	-5360.9326	3058.3516	-1448.0645	-11438.171	-3755.2512	2909.2415	-688.9183	-9509.335	400.0	400.0	401999	-17937.545	9038.216	-1506.7882	-55764.934	-17937.518	9038.212	-1420.8505	-55757.19	3.8162942	2.8302577	78.40893	-9.423	17933.197	3846.9636	3002.2991700172424
68	-3516.4045	3261.4182	-773.1392	-11527.955	-4105.4233	3051.1414	-528.1326	-10513.631	400.0	400.0	407999	-18100.348	9107.486	-1484.5575	-56226.375	-18100.334	9107.476	-1451.2942	-56185.332	3.7805138	2.75377	69.22027	-9.446691	18095.91	3742.397	3045.134476184845
69	-2956.3943	1570.7211	-639.34906	-6672.265	-2629.192	2400.7954	-748.7715	-8558.601	400.0	400.0	413999	-18271.791	9178.231	-1518.1758	-56557.4	-18271.766	9178.267	-1381.5438	-56466.797	3.791596	2.849287	70.69124	-12.062153	18267.44	3707.0076	3089.1069569587708
70	-4084.5435	2681.694	-532.6916	-9323.735	-3682.7231	2623.3132	-252.94872	-9279.821	400.0	400.0	419999	-18489.941	9272.759	-1473.7374	-56921.67	-18489.926	9272.784	-1371.7861	-56828.395	3.6783545	2.7751923	89.121284	-11.558079	18486.54	3619.1987	3132.6996641159058
71	-3810.0037	2498.9695	-230.27109	-9788.903	-2090.8665	1536.663	-483.79974	-5203.7314	400.0	400.0	425999	-18672.805	9370.118	-1467.7738	-57498.508	-18672.78	9370.149	-1396.5221	-57434.51	3.696251	2.8113432	85.84425	-9.594221	18669.016	3521.32	3178.5470361709595
72	-3707.6245	3472.924	-549.0207	-13565.374	-3676.56	2301.843	-1201.9125	-8145.003	400.0	400.0	431999	-18847.74	9440.131	-1402.6222	-57947.707	-18847.723	9440.132	-1306.1182	-57838.906	3.7576342	2.9344966	80.347	-10.183575	18843.41	3502.9954	3224.6706030368805
73	-2993.2341	2257.0454	-1063.4075	-7343.914	-3169.4893	2423.0847	-298.8229	-8439.541	400.0	400.0	437999	-18983.15	9510.199	-1395.0658	-58355.848	-18983.137	9510.174	-1341.1752	-58196.395	3.80801	2.9711454	74.54433	-9.416872	18978.615	3448.43	3274.219116449356
74	-4023.9	2724.159	-941.4032	-11098.984	-3046.5745	2764.7227	-565.7904	-9465.49	400.0	400.0	443999	-19188.525	9606.344	-1440.2169	-58579.582	-19188.549	9606.242	-1395.8828	-58528.914	3.7289767	2.9247386	80.728775	-9.527261	19185.219	3491.3274	3320.522631883621
75	-3551.712	2743.18	-397.0776	-11985.969	-3250.7126	2491.156	-422.58395	-6658.683	400.0	400.0	449999	-19379.586	9711.42	-1475.9207	-59203.56	-19379.617	9711.319	-1429.3986	-59065.348	3.7075362	2.8509216	77.057	-10.169917	19376.225	3422.1223	3365.602042198181
76	-2755.5835	2023.1696	-660.7669	-6353.2783	-2761.6248	2459.9265	-667.72174	-9285.725	400.0	400.0	455999	-19586.053	9812.304	-1523.7798	-59743.926	-19586.107	9812.156	-1552.2312	-59738.29	3.7882254	2.8830748	75.28398	-11.312432	19581.96	3439.6746	3410.034198999405
77	-2290.9768	1780.1127	-452.43622	-6097.3037	-2538.9592	1799.3228	-367.07742	-6909.675	400.0	400.0	461999	-19692.42	9916.397	-1578.716	-60108.496	-19692.48	9916.229	-1619.721	-60088.934	3.7743058	2.9890642	94.971954	-10.021417	19688.184	3327.406	3453.625301837921
78	-2332.1536	1540.7927	-428.3839	-5729.06	-2519.7043	1685.7429	-1209.2709	-7233.0625	400.0	400.0	467999	-19814.148	10000.542	-1644.2068	-60696.43	-19814.229	10000.34	-1673.8606	-60747.023	3.722017	2.9023252	90.023834	-8.093428	19810.1	3349.7034	3497.0150816440582
79	-1784.6803	1118.301	-467.93298	-5183.015	-6066.711	7673.049	-462.33887	-21313.338	400.0	400.0	473999	-19927.836	10075.187	-1569.2078	-61418.266	-19927.89	10075.028	-1604.4108	-61359.426	3.7556322	2.9875796	72.70511	-12.279062	19923.42	3306.4043	3542.991864681244
80	-2404.0774	2035.6461	-219.94063	-7118.6245	-3776.3071	2319.1797	-399.26852	-7909.6016	400.0	400.0	479999	-20027.516	10188.772	-1538.7233	-61869.383	-20027.586	10188.588	-1565.9423	-61784.137	3.8108346	2.9705648	91.981155	-10.412564	20022.525	3216.3806	3588.58215880394
81	-2262.249	1192.604	-808.46014	-5090.8745	-2683.5276	1930.1638	-685.11523	-7692.8384	400.0	400.0	485999	-20116.762	10264.068	-1377.1385	-62408.453	-20116.836	10263.886	-1418.3116	-62354.15	3.8701396	3.1169503	85.490425	-10.246103	20111.586	3268.0408	3634.7566015720367
82	-3656.5598	2340.3728	-466.1877	-9884.969	-2533.0454	1730.4806	-545.6265	-6103.304	400.0	400.0	491999	-20259.082	10360.359	-1281.4308	-63060.42	-20259.168	10360.151	-1324.5265	-63051.71	3.8885992	3.0351083	79.86071	-9.875428	20253.443	3184.4077	3678.8766458034515
83	-3617.078	2558.3386	-434.76474	-9242.596	-3368.5728	3043.3728	-543.04553	-10802.511	400.0	400.0	497999	-20426.799	10539.649	-1167.5616	-63820.176	-20426.895	10539.418	-1206.9879	-63832.273	3.8397417	3.0236921	93.77166	-8.806297	20421.959	3170.7747	3724.1983864307404
